path,pos_frac,has_pos
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000000.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000001.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000002.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000003.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000004.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000005.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000006.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000007.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000008.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000009.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000010.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000011.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000012.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000013.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000014.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000015.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000016.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000017.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000018.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000019.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000020.npz,0.0,0
